ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,Lat,Lon
unelectrified,SHS,3000.0,0.6265136872999727,20,1584.1,0.0,Phase 2 (→2035),2035.0,N/A,0.6700835724535692,0.6265136872999727,inf,inf,11.650698671901669,2.437194004299012
electrified,Already Electrified,0.0,0.0,30,2970.1875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.821298567403351,1.7680813474809145
unelectrified,SHS,57900.0,35.77663249504703,386,490.151625,0.0,Phase 1 (→2030),2030.0,N/A,35.3400512369622,35.77663249504703,inf,inf,10.793405873517726,3.536293605326433
electrified,Already Electrified,0.0,0.0,19,1881.11875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.383209975674362,1.4891433798725082
unelectrified,SHS,31650.0,32.74440133120119,211,292.744,0.0,Phase 2 (→2035),2035.0,N/A,31.972596489736603,32.74440133120119,inf,inf,7.095048452171043,1.9861136521757945
electrified,Already Electrified,0.0,0.0,29,3471.60625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.445970978315262,1.8030720534838922
unelectrified,SHS,9900.0,8.450041903583315,66,354.836,0.0,Phase 2 (→2035),2035.0,N/A,8.012870172663492,8.450041903583315,inf,inf,9.921591221821021,1.3612856385766703
electrified,Already Electrified,0.0,0.0,32,3168.2,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.729197781871069,2.0180455120919003
electrified,Already Electrified,0.0,0.0,30,2970.1875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.501882905499334,1.143236645923417
electrified,Already Electrified,0.0,0.0,12,1188.075,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.998059036773862,2.9310864409014807
unelectrified,SHS,7800.0,0.6265136872999727,52,5148.325,0.0,Phase 1 (→2030),2030.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,7.370384104923185,1.7741811116909798
electrified,Already Electrified,0.0,0.0,19,2276.23125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.594462185886147,1.3618394689782134
