ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,X_deg,Y_deg,DistRoadKm
electrified,Already Electrified,0.0,0.0,169,20319.09375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.2588237936290607,6.6305571816935425,1.448929
electrified,Already Electrified,0.0,0.0,43,5162.925,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.6608887212013919,9.030886595571378,0.0
unelectrified,SHS,2550.0,0.6265136872999727,17,1683.10625,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.848095686486257,10.232846879047145,4.666226
unelectrified,SHS,5850.0,7.053959459555308,39,251.17375,0.00652222948254849,Phase 3 (→2040),2040.0,N/A,7.318521082419737,7.053959459555308,inf,inf,1.8453975122724406,6.865929184388483,2.073622
unelectrified,SHS,3600.0,0.6265136872999727,24,1900.92,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,2.4155014488632576,11.54826833526839,11.39398
electrified,Already Electrified,0.0,0.0,374,37081.81,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.649431173566071,7.5408193916724064,0.0
electrified,Already Electrified,0.0,0.0,29,2871.18125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.8619298664208528,6.828235435940428,0.787086
unelectrified,SHS,4050.0,0.6265136872999727,27,2138.535,0.0,Phase 2 (→2035),2035.0,N/A,0.6700835724535691,0.6265136872999727,inf,inf,2.239930454468648,6.770454871436219,6.678216
unelectrified,SHS,459450.0,103.67753475542122,3063,1307.9213249999907,0.0,Phase 1 (→2030),2030.0,Phase 1 (0-5 yrs),103.67753475542122,106.39175623846587,inf,inf,2.8794364472897107,10.196768379992312,0.0
electrified,Already Electrified,0.0,0.0,109,11338.725,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.565882608926222,7.337398500808537,2.045153
electrified,Already Electrified,0.0,0.0,110,11088.24375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.090765323832568,7.473693957333691,2.314986
unelectrified,SHS,5550.0,0.6265136872999727,37,3663.23125,0.0,Phase 2 (→2035),2035.0,N/A,0.5078913230979232,0.6265136872999727,inf,inf,1.1968865331795517,10.089092528778957,6.818448
electrified,Already Electrified,0.0,0.0,26,2574.1625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0883507655088058,10.2374584160055,3.25306
unelectrified,SHS,59250.0,7.23457545358502,395,2480.428125,0.0,Phase 1 (→2030),2030.0,N/A,7.135581066357173,7.23457545358502,inf,inf,1.954205717753175,7.3997905065413105,5.368337
electrified,Already Electrified,0.0,0.0,29,2871.18125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.3194792572809069,10.191762311721064,8.230534
unelectrified,SHS,1950.0,0.6265136872999727,13,1029.665,0.01991516820999904,Phase 3 (→2040),2040.0,N/A,0.679435588411278,0.6265136872999727,inf,inf,2.065719993094934,10.668974791154877,0.367984
unelectrified,SHS,2850.0,0.6265136872999727,19,1881.11875,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.689671561206688,10.83413322866933,13.568876
electrified,Already Electrified,0.0,0.0,46,4751.84375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.5944886510040195,6.7061400442508825,7.214977
unelectrified,SHS,17700.0,37.65135214744418,118,142.378375,0.006980240701295719,Phase 3 (→2040),2040.0,N/A,36.365480930827715,37.65135214744418,inf,inf,2.849911174742365,10.316147249004445,13.222661
unelectrified,SHS,3150.0,0.6265136872999727,21,2079.13125,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,1.5227917965354412,10.370474451015626,4.099022
electrified,Already Electrified,0.0,0.0,57,6594.09,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.4930755885010085,8.986670351516294,0.911977
unelectrified,SHS,2100.0,0.6265136872999727,14,1386.0875,0.003033441707065432,Phase 3 (→2040),2040.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,1.0575640715059602,10.502002476578536,1.82923
electrified,Already Electrified,0.0,0.0,47,4653.29375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.79551413597242,10.73522096037953,0.440343
electrified,Already Electrified,0.0,0.0,37,3663.23125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.496675134206646,9.51008221928474,10.675153
unelectrified,SHS,6000.0,0.6265136872999727,40,3960.25,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,3.1001488442202683,10.17512611723253,0.067564
unelectrified,SHS,1500.0,0.6265136872999727,10,792.05,0.01556688786645365,Phase 3 (→2040),2040.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,2.9609278037219307,9.575767900160953,0.744388
unelectrified,SHS,61050.0,7.1544461383183515,407,2584.4075,0.0,Phase 1 (→2030),2030.0,N/A,7.140594379498592,7.1544461383183515,inf,inf,1.9181565658792876,6.902424023125815,1.462637
unelectrified,SHS,5550.0,7.3913340758175154,37,227.41625,0.03422025811468249,Phase 3 (→2040),2040.0,N/A,7.288205248772803,7.3913340758175154,inf,inf,2.802734828823321,10.398386903157302,5.877074
electrified,Already Electrified,0.0,0.0,58,4593.89,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5905350508363902,8.481524560682402,0.013731
electrified,Already Electrified,0.0,0.0,203,24665.33125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.0035852319032474,7.0992119895860855,1.274286
unelectrified,SHS,6150.0,0.6265136872999727,41,4059.25625,0.0,Phase 1 (→2030),2030.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,3.119606072931704,10.335399992703444,1.973121
unelectrified,SHS,1950.0,0.6265136872999727,13,1287.08125,0.022394948881023,Phase 3 (→2040),2040.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,1.7056992655771985,10.563237752134238,1.965688
electrified,Already Electrified,0.0,0.0,27,2928.76,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.608187242591235,7.495572345374629,3.224157
electrified,Already Electrified,0.0,0.0,41,4059.25625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.733459165736329,10.026251965530808,13.672061
unelectrified,SHS,4350.0,0.6265136872999727,29,2871.18125,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.728413588596729,10.695271615546837,4.165609
electrified,Already Electrified,0.0,0.0,14,1386.0875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.133020280038816,7.388049298439254,6.235243
unelectrified,SHS,4350.0,0.6265136872999727,29,2871.18125,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,1.0709836333851626,10.312338135947822,5.045017
unelectrified,SHS,9450.0,6.710544361829683,63,426.50625,0.0,Phase 2 (→2035),2035.0,N/A,6.857281930642848,6.710544361829683,inf,inf,2.0503489845161402,6.984154275331656,9.936792
electrified,Already Electrified,0.0,0.0,23,2869.8125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.6569826540333485,6.811586097895469,4.399443
unelectrified,SHS,4500.0,7.304125362457364,30,186.593125,0.005959278012485884,Phase 3 (→2040),2040.0,N/A,7.203296626927612,7.304125362457364,inf,inf,3.152202808054403,9.753247434019132,6.52586
unelectrified,SHS,10650.0,0.6265136872999727,71,7029.44375,0.0,Phase 1 (→2030),2030.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,1.3711942773799306,9.907566006598739,1.059964
electrified,Already Electrified,0.0,0.0,518,56255.16875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.7408896748104634,9.65150654400202,0.0
unelectrified,SHS,6000.0,44.27032473596399,40,41.0478,0.010016282762297496,Phase 3 (→2040),2040.0,N/A,45.446292946326686,44.27032473596399,inf,inf,2.5047270162428648,6.839596692565273,3.680539
unelectrified,SHS,3150.0,0.6265136872999727,21,2079.13125,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,3.016813147987761,11.274000466845019,0.2602
electrified,Already Electrified,0.0,0.0,18,1782.1125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.609889784169974,9.50030668318003,1.294575
unelectrified,SHS,1650.0,0.6265136872999727,11,871.255,0.010516907260037683,Phase 3 (→2040),2040.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,2.2012288462402054,10.952804730189593,0.375511
unelectrified,SHS,10950.0,0.6265136872999727,73,7227.45625,0.0,Phase 1 (→2030),2030.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,1.034245951261029,10.589914213083823,10.746004
unelectrified,Grid Extension,50875.0,6.220224046997355,407,2972.53625,0.0,Phase 1 (→2030),2030.0,Phase 1 (0-5 yrs),6.220224046997355,6.220278813493354,inf,inf,2.2852832247106734,11.190129132998523,1.189703
unelectrified,SHS,11400.0,36.10583274087227,76,95.626625,0.015964712375657917,Phase 3 (→2040),2040.0,N/A,35.816361858817196,36.10583274087227,inf,inf,2.4465071618719185,10.333600595095499,6.263712
unelectrified,SHS,2550.0,0.6265136872999727,17,1683.10625,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.984398694573807,10.821631190418739,15.867654
electrified,Already Electrified,0.0,0.0,31,3069.19375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.1910522278663271,10.711521912318215,2.091764
unelectrified,SHS,9750.0,0.6265136872999727,65,6435.40625,0.0,Phase 1 (→2030),2030.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.375743761233718,7.652931858874186,11.213037
electrified,Already Electrified,0.0,0.0,85,8415.53125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.3997293071917567,9.870610189299509,1.648368
unelectrified,SHS,17250.0,6.4293583532072915,115,812.5925,0.0,Phase 2 (→2035),2035.0,N/A,6.285918634198075,6.4293583532072915,inf,inf,1.489584071907065,9.538779885092353,10.393758
electrified,Already Electrified,0.0,0.0,145,12281.155,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.1408261405819116,7.923674283148089,5.505906
unelectrified,SHS,1500.0,0.6265136872999727,10,792.05,0.006781429474504773,Phase 3 (→2040),2040.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,2.4705572913336518,11.148838799587372,14.146495
unelectrified,Mini-Grid: Solar PV Only,71370.6875,0.33930405748552406,148,14652.925,0.0,Phase 1 (→2030),2030.0,N/A,0.5385719159573886,0.6265136872999727,0.45829649671388334,0.33930405748552406,1.3610313364684836,10.34599295856043,0.0
electrified,Already Electrified,0.0,0.0,11,1089.06875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0817009807184603,10.275361336192146,4.201342
unelectrified,SHS,13350.0,0.6265136872999727,89,7049.245,0.0,Phase 1 (→2030),2030.0,N/A,0.679435588411278,0.6265136872999727,inf,inf,2.6160829178235887,8.042959895208298,0.200504
electrified,Already Electrified,0.0,0.0,358,35641.79375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.487872722862036,10.883087031891984,33.735788
electrified,Already Electrified,0.0,0.0,859,112440.9875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.491574300819943,9.315362288028778,0.0
electrified,Already Electrified,0.0,0.0,14092,266450.94899999816,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.238560753972534,7.9663537072411135,0.0
unelectrified,SHS,35700.0,7.2411717597713405,238,1493.175,0.0,Phase 1 (→2030),2030.0,N/A,7.510318100203172,7.2411717597713405,inf,inf,2.185932543251128,6.964228335551246,3.928184
electrified,Already Electrified,0.0,0.0,478,51094.06875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.3398485019172122,10.02971759976952,3.531978
unelectrified,SHS,6900.0,7.466080812964979,46,279.903125,0.01484498808499982,Phase 3 (→2040),2040.0,N/A,7.447626429861906,7.466080812964979,inf,inf,3.161379174853508,10.123947950103716,3.819202
electrified,Already Electrified,0.0,0.0,218,27754.14375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.01884352754898,7.150292915670798,0.856663
electrified,Already Electrified,0.0,0.0,418,36457.66,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5288319143962443,6.780909281891301,4.774465
unelectrified,Mini-Grid: Solar PV Only,42436.625,0.33930405748552406,88,8712.55,0.0,Phase 1 (→2030),2030.0,N/A,0.5338841863209854,0.6265136872999727,0.4582964967138833,0.33930405748552406,3.0597220593260794,10.943204223862784,10.041686
unelectrified,SHS,4800.0,9.165883582583971,32,158.6055,0.009876259616996463,Phase 3 (→2040),2040.0,N/A,8.540809423942747,9.165883582583971,inf,inf,2.975042606822548,12.279919956754798,47.796505
unelectrified,SHS,2850.0,0.6265136872999727,19,1881.11875,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,3.187227728383782,11.624096936583488,1.067323
unelectrified,SHS,130800.0,34.4980052029596,872,1148.32575,0.0,Phase 1 (→2030),2030.0,N/A,33.01727240772046,34.4980052029596,inf,inf,3.319276097964788,10.636137493572994,31.475212
electrified,Already Electrified,0.0,0.0,256,26348.89375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0074401400955548,10.510780192620706,1.646314
electrified,Already Electrified,0.0,0.0,35,3465.21875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.8458844104335885,6.5803571206729865,1.785497
